match_id,region,game_creation,game_version,queue_id,team_id,side,win,gold_15,damage_dealt,kills,wards_placed,match_duration_min,damage_per_min
EUW1_7134996518,EUW,1727604339587,14.19.621.6353,420,100,blue,1,5801.0,105758.0,31,51,28.95,3653.1260794473233
EUW1_7134996518,EUW,1727604339587,14.19.621.6353,420,200,red,0,5091.0,74932.0,14,68,28.95,2588.3246977547496
EUW1_7136964662,EUW,1727732334729,14.19.621.6353,420,100,blue,0,5012.0,82307.0,21,52,28.3,2908.3745583038867
EUW1_7136964662,EUW,1727732334729,14.19.621.6353,420,200,red,1,6292.6,76472.0,22,58,28.3,2702.190812720848
EUW1_7138558055,EUW,1727884376195,14.19.622.3713,420,100,blue,0,5564.0,60335.0,16,41,23.916666666666668,2522.717770034843
EUW1_7138558055,EUW,1727884376195,14.19.622.3713,420,200,red,1,5503.0,83726.0,30,50,23.916666666666668,3500.738675958188
EUW1_7138604137,EUW,1727886747030,14.19.622.3713,420,100,blue,0,5991.2,91079.0,23,48,24.783333333333335,3675.010087424344
EUW1_7138604137,EUW,1727886747030,14.19.622.3713,420,200,red,1,5994.6,117128.0,37,65,24.783333333333335,4726.079354404842
EUW1_7138660664,EUW,1727889176102,14.19.622.3713,420,100,blue,1,6018.4,84987.0,38,40,23.683333333333334,3588.4729064039407
EUW1_7138660664,EUW,1727889176102,14.19.622.3713,420,200,red,0,5440.6,56354.0,18,34,23.683333333333334,2379.479239971851
EUW1_7139512404,EUW,1727965080335,14.19.622.3713,420,100,blue,0,5400.4,177502.0,41,82,38.833333333333336,4570.866952789699
EUW1_7139512404,EUW,1727965080335,14.19.622.3713,420,200,red,1,5038.0,152437.0,38,71,38.833333333333336,3925.4163090128754
EUW1_7142903173,EUW,1728225529356,14.19.622.3713,420,100,blue,0,5154.4,153911.0,41,108,41.81666666666667,3680.613790354723
EUW1_7142903173,EUW,1728225529356,14.19.622.3713,420,200,red,1,5757.8,184740.0,40,74,41.81666666666667,4417.855719410123
EUW1_7144021010,EUW,1728315478336,14.19.622.3713,420,100,blue,1,5267.0,83542.0,30,46,24.466666666666665,3414.523160762943
EUW1_7144021010,EUW,1728315478336,14.19.622.3713,420,200,red,0,5386.0,53220.0,15,33,24.466666666666665,2175.2043596730246
EUW1_7147659022,EUW,1728602280189,14.20.623.6777,420,100,blue,0,5023.6,123166.0,26,45,31.46666666666666,3914.17372881356
EUW1_7147659022,EUW,1728602280189,14.20.623.6777,420,200,red,1,5476.4,135630.0,33,62,31.46666666666666,4310.2754237288145
EUW1_7148198747,EUW,1728665284012,14.20.623.6777,420,100,blue,0,5394.0,101521.0,28,61,29.65,3423.9797639123103
EUW1_7148198747,EUW,1728665284012,14.20.623.6777,420,200,red,1,5574.8,107894.0,39,50,29.65,3638.920741989882
EUW1_7151459173,EUW,1728913572392,14.20.623.6777,420,100,blue,1,5438.4,199057.0,41,76,36.63333333333333,5433.767060964513
EUW1_7151459173,EUW,1728913572392,14.20.623.6777,420,200,red,0,5197.6,155333.0,35,75,36.63333333333333,4240.209281164695
EUW1_7151628913,EUW,1728923036936,14.20.623.6777,420,100,blue,1,5564.4,121618.0,36,71,33.18333333333333,3665.0326469111005
EUW1_7151628913,EUW,1728923036936,14.20.623.6777,420,200,red,0,5649.4,109326.0,30,78,33.18333333333333,3294.605725765947
EUW1_7159270311,EUW,1729518428978,14.20.623.6777,420,100,blue,0,5280.8,42883.0,11,29,16.933333333333334,2532.4606299212596
EUW1_7159270311,EUW,1729518428978,14.20.623.6777,420,200,red,1,6097.6,42401.0,17,38,16.933333333333334,2503.996062992126
EUW1_7163575683,EUW,1729860219039,14.21.629.951,420,100,blue,1,5716.6,112918.0,39,66,29.483333333333338,3829.892594686263
EUW1_7163575683,EUW,1729860219039,14.21.629.951,420,200,red,0,5004.4,98987.0,23,55,29.483333333333338,3357.388355002826
EUW1_7163612596,EUW,1729862682450,14.21.629.951,420,100,blue,0,6103.2,135061.0,45,64,34.266666666666666,3941.4688715953307
EUW1_7163612596,EUW,1729862682450,14.21.629.951,420,200,red,1,4579.8,148782.0,39,75,34.266666666666666,4341.887159533074
EUW1_7171355647,EUW,1730471874849,14.21.630.3012,420,100,blue,1,5270.2,120899.0,32,56,32.6,3708.558282208589
EUW1_7171355647,EUW,1730471874849,14.21.630.3012,420,200,red,0,4608.0,102101.0,24,61,32.6,3131.932515337423
EUW1_7171765649,EUW,1730491771763,14.21.630.3012,420,100,blue,0,4720.2,129447.0,27,72,37.86666666666667,3418.4947183098593
EUW1_7171765649,EUW,1730491771763,14.21.630.3012,420,200,red,1,4814.0,131372.0,37,100,37.86666666666667,3469.330985915493
EUW1_7172879421,EUW,1730581004079,14.21.630.3012,420,100,blue,1,5193.6,102518.0,28,48,28.883333333333333,3549.382573571841
EUW1_7172879421,EUW,1730581004079,14.21.630.3012,420,200,red,0,4932.8,78584.0,19,36,28.883333333333333,2720.7386035776112
EUW1_7179596172,EUW,1731100800759,14.22.633.1362,420,100,blue,1,5657.6,65349.0,21,51,20.883333333333333,3129.2418196328813
EUW1_7179596172,EUW,1731100800759,14.22.633.1362,420,200,red,0,5023.2,47705.0,12,26,20.883333333333333,2284.3575418994415
EUW1_7183902112,EUW,1731408917181,14.22.633.1362,420,100,blue,1,6404.6,133572.0,57,59,32.95,4053.778452200303
EUW1_7183902112,EUW,1731408917181,14.22.633.1362,420,200,red,0,5867.4,142938.0,34,44,32.95,4338.027314112291
EUW1_7184198134,EUW,1731430209855,14.22.633.1362,420,100,blue,1,5014.0,123908.0,32,59,28.18333333333333,4396.499112950917
EUW1_7184198134,EUW,1731430209855,14.22.633.1362,420,200,red,0,4587.2,81449.0,20,46,28.18333333333333,2889.970431697221
EUW1_7184477691,EUW,1731441519705,14.22.633.1362,420,100,blue,1,4982.0,189389.0,56,64,40.766666666666666,4645.6827473426
EUW1_7184477691,EUW,1731441519705,14.22.633.1362,420,200,red,0,4812.6,172223.0,38,85,40.766666666666666,4224.603434178251
EUW1_7185076168,EUW,1731505151367,14.22.633.1362,420,100,blue,0,4545.2,63285.0,24,30,26.93333333333333,2349.690594059406
EUW1_7185076168,EUW,1731505151367,14.22.633.1362,420,200,red,1,5890.6,67933.0,17,58,26.93333333333333,2522.264851485149
EUW1_7185132956,EUW,1731509026036,14.22.633.1362,420,100,blue,0,4952.6,86084.0,14,62,28.65,3004.6771378708554
EUW1_7185132956,EUW,1731509026036,14.22.633.1362,420,200,red,1,5245.8,113300.0,26,49,28.65,3954.624781849913
EUW1_7185270797,EUW,1731516671059,14.22.633.1362,420,100,blue,0,4881.4,48710.0,9,33,21.5,2265.5813953488373
EUW1_7185270797,EUW,1731516671059,14.22.633.1362,420,200,red,1,6664.0,85359.0,45,35,21.5,3970.186046511628
EUW1_7185306527,EUW,1731518350700,14.22.633.1362,420,100,blue,0,5385.8,88859.0,28,48,28.583333333333332,3108.7696793002915
EUW1_7185306527,EUW,1731518350700,14.22.633.1362,420,200,red,1,6699.0,125415.0,47,91,28.583333333333332,4387.696793002916
EUW1_7192680790,EUW,1732051203513,14.22.635.4945,420,100,blue,0,5619.8,92203.0,30,68,31.483333333333338,2928.6289041821065
EUW1_7192680790,EUW,1732051203513,14.22.635.4945,420,200,red,1,5983.2,117142.0,34,62,31.483333333333338,3720.762308099523
EUW1_7200193038,EUW,1732478849023,14.23.636.9832,420,100,blue,1,5589.6,89130.0,35,62,25.883333333333333,3443.528654217643
EUW1_7200193038,EUW,1732478849023,14.23.636.9832,420,200,red,0,5086.0,63398.0,19,71,25.883333333333333,2449.375402446877
EUW1_7201150521,EUW,1732547982390,14.23.636.9832,420,100,blue,1,5334.6,116482.0,39,52,25.416666666666668,4582.898360655738
EUW1_7201150521,EUW,1732547982390,14.23.636.9832,420,200,red,0,4803.6,69135.0,16,35,25.416666666666668,2720.0655737704915
EUW1_7202976111,EUW,1732647040471,14.23.636.9832,420,100,blue,0,5406.6,49483.0,15,45,18.816666666666666,2629.7431355181575
EUW1_7202976111,EUW,1732647040471,14.23.636.9832,420,200,red,1,5390.4,57060.0,21,36,18.816666666666666,3032.4180690876883
EUW1_7203030507,EUW,1732648654672,14.23.636.9832,420,100,blue,1,5609.8,129881.0,39,63,29.266666666666662,4437.847380410023
EUW1_7203030507,EUW,1732648654672,14.23.636.9832,420,200,red,0,4891.6,72875.0,19,56,29.266666666666662,2490.0341685649205
EUW1_7205185423,EUW,1732777712140,14.23.636.9832,420,100,blue,1,6884.6,113554.0,41,50,26.616666666666667,4266.2742642454605
EUW1_7205185423,EUW,1732777712140,14.23.636.9832,420,200,red,0,4849.8,82047.0,32,72,26.616666666666667,3082.5422667501566
EUW1_7205986631,EUW,1732822324753,14.23.636.9832,420,100,blue,1,5762.2,115900.0,36,60,32.0,3621.875
EUW1_7205986631,EUW,1732822324753,14.23.636.9832,420,200,red,0,5332.6,130492.0,37,64,32.0,4077.875
EUW1_7206064609,EUW,1732824690487,14.23.636.9832,420,100,blue,0,4872.2,124929.0,24,70,35.1,3559.230769230769
EUW1_7206064609,EUW,1732824690487,14.23.636.9832,420,200,red,1,5735.4,176231.0,41,65,35.1,5020.826210826211
EUW1_7207635330,EUW,1732915349333,14.23.636.9832,420,100,blue,1,5448.6,153327.0,51,51,32.916666666666664,4658.035443037975
EUW1_7207635330,EUW,1732915349333,14.23.636.9832,420,200,red,0,4909.6,115152.0,31,52,32.916666666666664,3498.288607594937
EUW1_7207713439,EUW,1732917707975,14.23.636.9832,420,100,blue,1,526.4,267.0,0,2,1.8,148.33333333333334
